"name","city","state","zip","phone","website","instagram","email","email_source","google_review_count","google_star_rating","address","gbp_url","categories","top_competitor_1_name","top_competitor_1_reviews","top_competitor_1_stars","top_competitor_1_distance","top_competitor_2_name","top_competitor_2_reviews","top_competitor_2_stars","top_competitor_2_distance","top_competitor_3_name","top_competitor_3_reviews","top_competitor_3_stars","top_competitor_3_distance","notes","call_status","call_attempts","last_attempted"
"Skin Spa New York North Station","Boston","Massachusetts","02114","(617) 936-3362","https://skinspanewyork.com/pages/north-station-spa?utm_source=google&utm_medium=organic&utm_campaign=google-business-profile-north-station","","info@skinspanewyork.com","contact_page","231","4.9","105 Canal St, Boston, MA 02114","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20North%20Station&query_place_id=ChIJt9-1WaNx44kRW_oKLlcxNv4","Medical spa; Facial spa; Laser hair removal service; Massage spa; Skin care clinic; Spa","Skin Spa New York - Back Bay","381","4.8","1.64","Restore Hyper Wellness","188","4.9","2.13","Skin Laundry - Arsenal Yards","174","4.7","5.06","","not_called","0",""
"Rejuve Med Spa","Dallas","Texas","75252","(972) 265-1590","https://www.rejuvemedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","salilgandhi@gmail.com","contact_page","302","4.8","18220 Preston Rd, Dallas, TX 75252","https://www.google.com/maps/search/?api=1&query=Rejuve%20Med%20Spa&query_place_id=ChIJrTEvDMwjTIYRD16bpXaOzH8","Medical spa; Skin care clinic; Tattoo removal service; Weight loss service; Wellness center","Metamorph Med Spa","467","5.0","0.87","Uplift Medspa Health & Wellness","144","5.0","1.07","Princess Med Spa","121","4.9","1.03","","not_called","0",""
"Mara's Med Spa","Dallas","Texas","75201","(469) 730-3333","https://www.marasmedspa.com/","","uptown@marasmedspa.com","contact_page","603","4.8","2222 McKinney Ave Unit 120, Dallas, TX 75201","https://www.google.com/maps/search/?api=1&query=Mara's%20Med%20Spa&query_place_id=ChIJVTgC-i-ZToYRnhM8bs_V0V8","Medical spa","It's A Secret Med Spa","574","4.6","1.05","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.8","SkinSpirit West Village Dallas","150","4.9","1.01","","not_called","0",""
"InjectCo MedSpa Dallas","Dallas","Texas","75204","(214) 216-1033","https://injectco.com/services/med-spa-dallas-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp-dallas","","hello@injectco.com","contact_page","141","5.0","2520 N Carroll Ave, Dallas, TX 75204","https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Dallas&query_place_id=ChIJSWOzaeifToYRvJrkXYkPrAQ","Medical spa; Facial spa; Hair replacement service; Women's health clinic; Skin care clinic; Weight loss service; Wellness center","UPKEEP Med Spa","887","4.9","0.7","It's A Secret Med Spa","574","4.6","0.43","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.64","","not_called","0",""
"CULT Aesthetics","Dallas","Texas","75219","(469) 720-1086","https://www.cultaesthetics.com/dallas/","","","","352","4.9","4525 Lemmon Ave Suite 240, Dallas, TX 75219","https://www.google.com/maps/search/?api=1&query=CULT%20Aesthetics&query_place_id=ChIJFX32ikGZToYRsMJi8wiyMQo","Medical spa; Skin care clinic","ZO Skin Centre","486","4.9","0.75","Total Med Solutions","343","4.8","0.89","OVME","250","4.8","0.82","","not_called","0",""
"Dallas Aesthetic Studio","Dallas","Texas","75202","(469) 442-9792","https://tericawright.glossgenius.com/services","","","","110","5.0","701 Commerce St Suite, Dallas, TX 75202","https://www.google.com/maps/search/?api=1&query=Dallas%20Aesthetic%20Studio&query_place_id=ChIJs2Doe-iZToYR1KHKTP18mUQ","Skin care clinic; Medical spa","Mara's Med Spa","603","4.8","1.04","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","1.83","Calypso Aesthetic Lab","203","5.0","1.35","","not_called","0",""
"VIV Wellness","Dallas","Texas","75219","(972) 803-3957","http://vivwellness.com/","","info@vivwellness.com","contact_page","111","5.0","2401 Victory Park Ln Suite 110, Dallas, TX 75219","https://www.google.com/maps/search/?api=1&query=VIV%20Wellness&query_place_id=ChIJ53d-3qSZToYRbwVvERiF6kc","Medical spa; Doctor; Facial spa; Laser hair removal service; Medical clinic; Weight loss service; Wellness center","Mara's Med Spa","603","4.8","0.59","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","1.36","SkinSpirit West Village Dallas","150","4.9","1.56","","not_called","0",""
"Ember Medical Spa","Dallas","Texas","75205","(469) 518-8195","https://embermedspadallas.com/","","info@embermedspadallas.com","contact_page","94","5.0","6607 Hillcrest Ave #200, Dallas, TX 75205","https://www.google.com/maps/search/?api=1&query=Ember%20Medical%20Spa&query_place_id=ChIJDZziHwGfToYREmevhjNwp1E","Medical spa","UPKEEP Med Spa","887","4.9","2.01","ZO Skin Centre","486","4.9","2.0","Sanjiva Medical Spa","246","5.0","1.73","","not_called","0",""
"Timeless Beauty Med Spa","Dallas","Texas","75208","(682) 816-7279","https://www.timelessbeautytx.com/","","","","77","4.8","111 W Davis St Suite 160, Loft 13, Dallas, TX 75208","https://www.google.com/maps/search/?api=1&query=Timeless%20Beauty%20Med%20Spa&query_place_id=ChIJy8UePcc5TIYRp0Pg4Pe05v0","Medical spa; Facial spa; Skin care clinic; Spa; Wellness program","Bella MedSpa - Dallas MedSpa","508","4.8","0.76","Calypso Aesthetic Lab","203","5.0","3.02","VIV Wellness","111","5.0","2.72","","not_called","0",""
"SkinSpaMED","Dallas","Texas","75240","(972) 392-3895","http://skinspamed.com/","","Marie@skinspamed.com","contact_page","421","4.9","5330 Alpha Rd #100, Dallas, TX 75240","https://www.google.com/maps/search/?api=1&query=SkinSpaMED&query_place_id=ChIJw2ZFgt4gTIYRESSpN1nY-2I","Medical spa; Laser hair removal service","NakedMD Med Spa Dallas","582","4.9","3.15","OMNI SCULPT MD: Med Spa","463","5.0","4.12","Lily Aesthetics & Wellness","166","4.8","1.35","","not_called","0",""
"UPKEEP Med Spa","Dallas","Texas","75206","(833) 875-3377","https://www.upkeepmedspa.com/","","info@upkeepmedspa.com","contact_page","887","4.9","5207 Bonita Ave, Dallas, TX 75206","https://www.google.com/maps/search/?api=1&query=UPKEEP%20Med%20Spa&query_place_id=ChIJAR_dnRWfToYR5ElZ5LxdzTg","Medical spa; Facial spa; Laser hair removal service; Skin care clinic; Tattoo removal service","It's A Secret Med Spa","574","4.6","1.05","OVME","250","4.8","1.13","Aurum Health","244","4.9","0.34","","not_called","0",""
"It's A Secret Med Spa","Fort Worth","Texas","76107","(817) 385-4814","https://secretmedspa.com/fort-worth-tx/","","","","308","4.7","2917 Crockett St, Fort Worth, TX 76107","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJ_wc3yzRzToYRKgq7xXuE7x8","Medical spa; Facial spa","Fort Worth Plastic Surgery","1067","4.9","1.12","Vitalyc Medspa","383","4.9","1.58","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","1.28","","not_called","0",""
"Aesteem Aesthetics","Dallas","Texas","75206","(945) 319-6690","https://aesteemaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","","","","124","4.9","One Energy Square, 4925 Greenville Ave Suite 550, Dallas, TX 75206","https://www.google.com/maps/search/?api=1&query=Aesteem%20Aesthetics&query_place_id=ChIJc3LePqqfToYRi0-ymVcKBpM","Medical spa; Beauty school; Facial spa","UPKEEP Med Spa","887","4.9","2.08","Aurum Health","244","4.9","2.27","AYA Medical Spa Dallas - University Park","139","5.0","1.02","","not_called","0",""
"The Retreat Medical Spa","Fort Worth","Texas","76104","(817) 887-9956","http://theretreatmedspa.com/","","info@mclaughlinmd.com","contact_page","73","4.9","1200 W Magnolia Ave Suite #100, Fort Worth, TX 76104","https://www.google.com/maps/search/?api=1&query=The%20Retreat%20Medical%20Spa&query_place_id=ChIJ94-PS3ZxToYRedfv9s5S-BU","Medical spa; Facial spa; Hair replacement service; Laser hair removal service; Plastic surgery clinic; Skin care clinic; Waxing hair removal service","Fort Worth Plastic Surgery","1067","4.9","0.74","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","0.52","Youthful Magnolia","145","5.0","0.31","","not_called","0",""
"Sanjiva Medical Spa","Dallas","Texas","75209","(469) 336-6769","https://sanjivamedspa.com/","","Hello@Sanjivamedspa.com","contact_page","246","5.0","5633 W Lovers Ln, Dallas, TX 75209","https://www.google.com/maps/search/?api=1&query=Sanjiva%20Medical%20Spa&query_place_id=ChIJNRZQOFefToYRoAIyBbPcbXI","Medical spa; Facial spa; Health and beauty shop; Laser hair removal service; Plastic surgery clinic; Skin care clinic; Spa; Weight loss service; Wellness center","Well Labs+ Medspa Dallas","359","4.9","0.49","CULT Aesthetics","352","4.9","2.22","Total Med Solutions","343","4.8","1.63","","not_called","0",""
"Kalos Medical Spa at Kirby Plastic Surgery","Fort Worth","Texas","76109","(817) 292-4200","https://www.kalosmedicalspa.com/?utm_source=google&utm_medium=local","","","","351","5.0","5075 Edwards Ranch Rd, Fort Worth, TX 76109","https://www.google.com/maps/search/?api=1&query=Kalos%20Medical%20Spa%20at%20Kirby%20Plastic%20Surgery&query_place_id=ChIJp14MFC5zToYRdaad_Mu9UII","Medical spa; Facial spa; Laser hair removal service; Plastic surgeon; Skin care clinic","Beverly Hills Rejuvenation Center","198","4.7","1.55","OrangeTwist","120","4.8","1.18","InjectCo MedSpa Fort Worth","100","5.0","1.46","","not_called","0",""
"Youthful Magnolia","Fort Worth","Texas","76104","(682) 261-7757","https://youthfulmagnolia.com/","","info@youthfulmagnolia.com","contact_page","145","5.0","1307 8th Ave #404, Fort Worth, TX 76104","https://www.google.com/maps/search/?api=1&query=Youthful%20Magnolia&query_place_id=ChIJKfBVkXVxToYRQoOEfRo5a2Q","Medical spa; Wellness center","Fort Worth Plastic Surgery","1067","4.9","0.52","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","0.41","The Retreat Medical Spa","73","4.9","0.31","","not_called","0",""
"Heyday Skincare Seaport","Boston","Massachusetts","02210","(617) 843-8336","https://www.heydayskincare.com/","","hello@heydayskincare.com","contact_page","162","4.8","41 Northern Ave, Boston, MA 02210","https://www.google.com/maps/search/?api=1&query=Heyday%20Skincare%20Seaport&query_place_id=ChIJkSqjqllx44kRFYMKs8dNSTw","Facial spa; Beautician; Day spa; Skin care clinic; Spa","Skin Spa New York - Back Bay","381","4.8","1.92","Skin Spa New York North Station","231","4.9","1.05","Restore Hyper Wellness","188","4.9","3.17","","not_called","0",""
"Bougie Aesthetics","Fort Worth","Texas","76102","(817) 229-0014","https://www.bougieaesthetics.net/","","Hero@1.2x-4-7-2.avif","contact_page","111","4.8","500 W 7th St Suite 1714, Fort Worth, TX 76102","https://www.google.com/maps/search/?api=1&query=Bougie%20Aesthetics&query_place_id=ChIJWXF8qTPZTYYROcA-rVQYU-8","Medical spa; Plastic surgery clinic; Skin care clinic; Wellness center","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","1.21","Tina Torres Cosmetics","135","4.9","0.66","Skin Beauty Med Spa","79","5.0","1.13","","not_called","0",""
"The Science of Beauty","Dallas","Texas","75204","(214) 272-9240","https://www.thescienceofbeauty.co/","","Info@thescienceofbeautydallas.com","contact_page","201","5.0","4101 Bryan St #100, Dallas, TX 75204","https://www.google.com/maps/search/?api=1&query=The%20Science%20of%20Beauty&query_place_id=ChIJlRYFrG-ZToYR8Q7o9DDXScI","Medical spa","It's A Secret Med Spa","574","4.6","1.01","Lemmon Avenue Plastic Surgery and Laser Center","444","4.9","0.99","SkinSpirit West Village Dallas","150","4.9","1.1","","not_called","0",""
"H2 Wellness & MedSpa","Fort Worth","Texas","76114","(817) 241-2485","https://h2medspa.com/","","info@h2medspa.com","contact_page","76","5.0","4900 White Settlement Rd, Fort Worth, TX 76114","https://www.google.com/maps/search/?api=1&query=H2%20Wellness%20%26%20MedSpa&query_place_id=ChIJsV5GO7p1ToYR7xeCJi-Zz7Y","Medical spa","It's A Secret Med Spa","308","4.7","2.29","Beverly Hills Rejuvenation Center","198","4.7","2.0","InjectCo MedSpa Fort Worth","100","5.0","2.03","","not_called","0",""
"KAYO Aesthetics","Fort Worth","Texas","76109","(817) 717-5117","https://kayoaesthetics.com/?utm_source=GBP","","shyanne@kayoaesthetics.com","contact_page","62","4.9","5924 Convair Dr ste 444 room 6, Fort Worth, TX 76109","https://www.google.com/maps/search/?api=1&query=KAYO%20Aesthetics&query_place_id=ChIJ9wE4czZzToYRdtsPRjlOJyw","Medical spa","SKINTECH SPA - Fort Worth","745","4.6","0.47","A Nurses Touch Skin Care & Med Spa","604","4.9","0.61","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.24","","not_called","0",""
"Restore Hyper Wellness","South Portland","Maine","04106","(207) 250-4444","http://www.restore.com/locations/me-south-portland-me001?utm_source=gmb&utm_medium=Yext&y_source=1_Njg4NzM3MDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","","frontdeskME001@restore.com","contact_page","156","4.9","100 Gorham Rd, South Portland, ME 04106","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJo2-8v0SZskwRn_qIPO20EpM","Medical spa; IV therapy service; Wellness center","","0","0.0","0.0","","0","0.0","0.0","","0","0.0","0.0","","not_called","0",""
"R&R Aesthetics & Wellness","Fort Worth","Texas","76140","(817) 662-2550","http://www.rrawellness.com/","","office@rrawellness.com","contact_page","105","5.0","6440 Rendon Bloodworth Rd, Fort Worth, TX 76140","https://www.google.com/maps/search/?api=1&query=R%26R%20Aesthetics%20%26%20Wellness&query_place_id=ChIJeQ-KaWNnToYRbzuZPUj-RII","Medical spa; Facial spa; Hair replacement service; Laser hair removal service; Skin care clinic; Weight loss service; Wellness center","","0","0.0","0.0","","0","0.0","0.0","","0","0.0","0.0","","not_called","0",""
"Restore Hyper Wellness","Mt Kisco","New York","10549","(845) 871-2503","https://www.restore.com/locations/ny-mt-kisco-ny006?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","","frontdeskNY006@restore.com","contact_page","362","4.9","195 N Bedford Rd Suite 8, Mt Kisco, NY 10549","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJjf_06M67wokRGYv3A3H56dY","Medical spa; IV therapy service; Wellness center","","0","0.0","0.0","","0","0.0","0.0","","0","0.0","0.0","","not_called","0",""
"Restore Hyper Wellness","Westport","Connecticut","06880","(203) 557-0644","https://www.restore.com/locations/ct-westport-ct001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4MzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","","frontdeskCT001@restore.com","contact_page","240","4.9","877 Post Rd E, Westport, CT 06880","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJ_xtc_wUb6IkRN-dCf-Jbm5E","Medical spa; IV therapy service; Wellness center","Lil Brit of Wax and Facials","42","5.0","7.99","","0","0.0","0.0","","0","0.0","0.0","","not_called","0",""
"Dallas Pro Aesthetics","Dallas","Texas","75240","(945) 312-1585","https://dallasproaesthetics.com/","","info@dallasproaesthetics.com","contact_page","60","4.9","Located inside of Image Studios, 13846 Dallas Pkwy Ste 150 Suite 127, Dallas, TX 75240","https://www.google.com/maps/search/?api=1&query=Dallas%20Pro%20Aesthetics&query_place_id=ChIJI8SOhKYhTIYRK0cwbea5tbs","Facial spa","NakedMD Med Spa Dallas","582","4.9","3.44","OMNI SCULPT MD: Med Spa","463","5.0","4.42","SkinSpaMED","421","4.9","0.3","","not_called","0",""
"Cosmetic And Laser Center Botox Clinic","Boston","Massachusetts","02210","(617) 904-3660","http://www.1bostonlaser.com/","","appointments@330congress.com","contact_page","158","4.5","330 Congress St, Boston, MA 02210","https://www.google.com/maps/search/?api=1&query=Cosmetic%20And%20Laser%20Center%20Botox%20Clinic&query_place_id=ChIJJ3sC_H9w44kRiU40_00ZRv0","Medical spa; Hair removal service; Hair replacement service; Laser hair removal service; Skin care clinic; Tattoo removal service","Skin Spa New York - Back Bay","381","4.8","1.79","Skin Spa New York North Station","231","4.9","1.11","Restore Hyper Wellness","188","4.9","3.23","","not_called","0",""
"Snug Aesthetics","Fort Worth","Texas","76164","(682) 269-5313","https://snugaesthetics.myaestheticrecord.com/online-booking","","","","197","5.0","2100 N Main St Suite 115, Fort Worth, TX 76164","https://www.google.com/maps/search/?api=1&query=Snug%20Aesthetics&query_place_id=ChIJne2QU053ToYRVvWjwnrTy78","Medical spa","It's A Secret Med Spa","308","4.7","2.35","Tina Torres Cosmetics","135","4.9","3.01","Bougie Aesthetics","111","4.8","2.35","","not_called","0",""
"InjectCo MedSpa Fort Worth","Fort Worth","Texas","76107","(817) 285-5254","https://injectco.com/services/med-spa-fort-worth-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp-fort-worth","","hello@injectco.com","contact_page","100","5.0","INSIDE MATTISON AVE SUITES, 4701 West Fwy Suite 152, Fort Worth, TX 76107","https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Fort%20Worth&query_place_id=ChIJY52k0mpzToYR9XV5Bfj-quM","Medical spa; Facial spa; Hair replacement service; Men's health physician; Women's health clinic; Skin care clinic; Weight loss service; Wellness center","Vitalyc Medspa","383","4.9","1.58","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.46","Beverly Hills Rejuvenation Center","198","4.7","0.14","","not_called","0",""
"Skin Care Fort Worth","Fort Worth","Texas","76116","(817) 738-9268","http://www.skincarefortworth.com/","","irenepjdstaff@gmail.com","contact_page","69","4.8","6010 Curzon Ave, Fort Worth, TX 76116","https://www.google.com/maps/search/?api=1&query=Skin%20Care%20Fort%20Worth&query_place_id=ChIJy09I1RhzToYRZyR5rcvbgxc","Medical spa; Skin care clinic","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.6","Beverly Hills Rejuvenation Center","198","4.7","1.49","OrangeTwist","120","4.8","2.2","","not_called","0",""
"Vitalyc Medspa","Fort Worth","Texas","76107","(817) 670-3283","https://www.vitalyc.com/locations/fort-worth/?utm_source=google&utm_medium=organic&utm_campaign=google+business+profile","","","","383","4.9","1604 S University Dr Suite D501, Fort Worth, TX 76107","https://www.google.com/maps/search/?api=1&query=Vitalyc%20Medspa&query_place_id=ChIJRf3MEfRzToYR5MtfLITGIXY","Medical spa","Fort Worth Plastic Surgery","1067","4.9","1.05","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","1.28","Beverly Hills Rejuvenation Center","198","4.7","1.47","","not_called","0",""
"SKINTECH SPA - Fort Worth","Fort Worth","Texas","76109","(817) 968-5538","https://www.skintech-spa.com/location/fort-worth?utm_source=google&utm_medium=organic&utm_campaign=gbp","","info@skintech-spa.com","contact_page","745","4.6","6100 Southwest Blvd # 100, Fort Worth, TX 76109","https://www.google.com/maps/search/?api=1&query=SKINTECH%20SPA%20-%20Fort%20Worth&query_place_id=ChIJbbejSVZtToYRABT0etPH5-E","Medical spa; Facial spa; Health spa; Spa","A Nurses Touch Skin Care & Med Spa","604","4.9","0.18","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.59","OrangeTwist","120","4.8","0.47","","not_called","0",""
"Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","Fort Worth","Texas","76104","(817) 808-8938","https://www.hanamimedspa.com/?utm_source=gmb_auth","","","","254","4.9","800 8th Ave Suite 508, Fort Worth, TX 76104","https://www.google.com/maps/search/?api=1&query=Hanami%20Medspa%3A%20Elaine%20Phuah%2C%20DO%2C%20MBA%2C%20FACOI&query_place_id=ChIJh6xb-nJxToYRl0sDgOMiOcw","Medical spa","Fort Worth Plastic Surgery","1067","4.9","0.27","Youthful Magnolia","145","5.0","0.41","The Retreat Medical Spa","73","4.9","0.52","","not_called","0",""
"Geneva Med Spa","Frisco","Texas","75034","(469) 403-8883","http://genevamedspa.com/","","info@genevamedspa.com","contact_page","116","5.0","3535 Victory Group Way Suite 505, Frisco, TX 75034","https://www.google.com/maps/search/?api=1&query=Geneva%20Med%20Spa&query_place_id=ChIJqQxmNhQ7TIYRCm-noRxlOs4","Medical spa; Day spa; Facial spa; Laser hair removal service; Permanent make-up clinic; Skin care clinic","Starwood Med Spa","658","4.9","1.54","Modern Skin Med Spa","112","5.0","1.07","Dallas Medicine & Aesthetics","111","4.9","1.51","","not_called","0",""
"Fort Worth Plastic Surgery","Fort Worth","Texas","76104","(817) 810-0770","https://www.fortworthplasticsurgery.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Fort-Worth-Plastic-Surgery&MedSpa-Fort-Worth&utm_content=website","","info@fwpsc.com","contact_page","1067","4.9","800 12th Ave # 100, Fort Worth, TX 76104","https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Plastic%20Surgery&query_place_id=ChIJN_KWUnxxToYRHRG-7_D-ta0","Medical spa; Plastic surgeon","Hanami Medspa: Elaine Phuah, DO, MBA, FACOI","254","4.9","0.27","Youthful Magnolia","145","5.0","0.52","The Retreat Medical Spa","73","4.9","0.74","","not_called","0",""
"A Nurses Touch Skin Care & Med Spa","Fort Worth","Texas","76109","(682) 200-3278","http://anursestouchfortworth.com/","","anursestouchfortworth@gmail.com","contact_page","604","4.9","4255 Bryant Irvin Rd Ste 211, Fort Worth, TX 76109","https://www.google.com/maps/search/?api=1&query=A%20Nurses%20Touch%20Skin%20Care%20%26%20Med%20Spa&query_place_id=ChIJq-aKIIFyToYRC3FDx_Vc1jU","Medical spa; Day spa; Electrolysis hair removal service; Facial spa; Hair removal service; Permanent make-up clinic; Skin care clinic","SKINTECH SPA - Fort Worth","745","4.6","0.18","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.63","OrangeTwist","120","4.8","0.58","","not_called","0",""
