name,city,state,owner_name,owner_credential,services,google_review_count,google_star_rating,phone,website,instagram_handle,gbp_url,notes
The Skin Shop Medspa,Scottsdale,AZ,Cyndie Nohr & Shelly Stump,Two RNs,"Botox, Juvederm, Kybella, PRP, RF microneedling, IPL, sexual health",unknown,unknown,(480) 948-1759,https://theskinshopmedspascottsdale.com/,unknown,unknown,"RN co-owned single N. Scottsdale Rd location"
Tulua Medspa,Gilbert,AZ,Shantel White,"DNP, FNP-C","Facial balancing, Botox, fillers, BHRT, weight loss, IV",~38 (InjectorIndex),5.0,(480) 485-4975,https://tuluamedspa.com/,@tuluamedspa,unknown,"NP-owned, single Lindsay Rd location (verify whether tuluahouston.com domain = expansion)"
Wood Aesthetics Health & Wellness,Gilbert,AZ,Lindsey Wood,Board Certified NP,"Botox, fillers, microneedling, IV therapy, weight loss, peels",~40 (Birdeye),5.0,(623) 562-9939,https://www.woodaestheticshealthandwellness.com/,@woodaestheticshealthwellness,unknown,"NP-owned single location inside L'mage Studios - likely in 5-50 Google band"
The Derm Lab Rx,Sun Lakes,AZ,Christina Kang,"RN, BSN, CANS","Botox, fillers, peels, RF microneedling, PDO threads",~98 Google,5.0,480-616-3001,https://dermlabrx.com/,@thedermlabrx,unknown,"RN/CANS single location - over band but very strong fit"
Lavish Beauty RN,Tempe,AZ,Nancy Park,"RN, BSN","Botox, Dysport, fillers, microneedling, peels, Sculptra, Rejuran",~27 (Yelp),unknown,480-933-2328,https://www.lavishrn.com/,@lavishbeautyrn,unknown,"RN-owned single Elliot Rd location - likely sub-50 Google"
Emily Frost Aesthetics,Mesa,AZ,Emily Frost,"RN, Licensed Aesthetician","BBL, microneedling, fillers, Botox, Kybella, lasers, PRP, Sculptra",unknown,unknown,480-389-6579,https://emilyfrostaesthetics.com/,@emilyfrostaesthetics,unknown,"RN injector single Mesa location"
The Collective Medspa,Goodyear,AZ,Rendee Pfeifle,"RN, BSN","Botox, lip and cheek filler, microneedling",unknown,unknown,602-708-2992,https://www.thecollectivemedspa.com/,@thecollectivemedspa,unknown,"RN-owned tiny studio inside Luxe Spa & Salon - newer, likely sub-50"
Bleu MedSpa,Litchfield Park,AZ,Katie Dalessi,RN,"Botox, Juvederm, Skinvive, facials, microneedling",unknown,unknown,(602) 480-2951,https://www.thebleumedspa.com/,@bleu_medspa,unknown,"RN-owned single location"
Phoenix Med Spa,Phoenix,AZ,Natalie Glasgow & Kesh Hecker,"RN, BSN; RMA","Botox, Daxxify, fillers, body contouring, IPL, peels, weight loss",unknown,unknown,unknown,https://phoenixmedspa.net/,@phoenixmedspa2024,unknown,"RN-led, opened February 2024 - prime sub-50 ICP target"
Breeze Med Spa,Chandler,AZ,unknown (verify),likely RN team,"Botox, fillers, microneedling, peels, RF, IV, weight loss",unknown,unknown,(480) 852-5803,https://breezemedspaaz.com/,@breezemedspaaz,unknown,"Owner not disclosed on site - verify before outreach"
Giovanni Med Spa,Gilbert,AZ,Brittany,Nurse,"Botox, Dysport, Juvederm, Kybella, Sculptra, body contouring",~32 (Yelp),unknown,(480) 714-8686,https://giovannimedspa.com/,@giovannimedspa,unknown,"Nurse-led single Val Vista location"
Esthetic Finesse,Paradise Valley,AZ,Diane Howard,RN,"Botox, fillers, Kybella, PDGF microneedling, PRP, Sculptra",500+ Google,5.0,(480) 908-9695,https://estheticfinesse.com/,@estheticfinesse,unknown,"RN-owned but 500+ reviews - well established"
Gizel Atlanta,Tucker (Atlanta metro),GA,Nurse Fola,"MSN, RN, FNP-s","Aerolase laser, microneedling, hydrafacial, Botox, fillers, peels",32,5.0,770-609-8369,https://gizelatl.com/,@gizelatlanta,unknown,"NP-led single Lavista Rd location - confirmed in 5-50 Google band"
Conqr Aesthetics & Wellness,Atlanta (Buckhead),GA,Brandi Milton,"MSN, NP-C","Injectables, IV therapy, lasers, wellness",unknown,unknown,(404) 446-9566,https://www.conqraesthetics.com/,@conqraesthetics,unknown,"NP-owned single Paces Ferry Rd location"
Flawless Skin Boutique,Atlanta (Buckhead),GA,Cindy Collins,"NP-C, MSN","Botox, fillers, microneedling, HIFU, plasma pen, weight loss",unknown,unknown,678-263-2777,https://www.flawless-skin-boutique.com/,@flawlessskinboutiqueatlanta,unknown,"NP-owned single Andrews Drive location"
Radiant & Renewed Aesthetics,Roswell,GA,Christina Roach,Nurse Anesthetist (CRNA),"Botox, fillers, microneedling, Diamond Glow, peels, RF microneedling, weight loss, HRT",~277 Google,5.0,(404) 326-0961,https://radiantandrenewed.com/,@radiant_renewed_aesthetics,unknown,"CRNA-owned but 277 reviews - well established"
Aesthetics Rox,Marietta (East Cobb),GA,Roxanna Barzegar,"NP-C, dual MSN Family + Psychiatric","Botox, fillers, Dysport, VI Peel, lip flip, neck/jawline, masseter",unknown,unknown,unknown,https://www.aestheticsrox.com/,@roxanna_bzg,unknown,"NP-owned newer business inside The Summit - likely sub-50 reviews"
Enhanced Aesthetics and Wellness,Marietta,GA,Gina Gatti & Erica Gentile,"CRNA + FNP-C","Botox, Xeomin, Dysport, fillers, PRP microneedling, VI Peel, hair rejuvenation",unknown,unknown,770-485-1755,https://www.enhancedaestheticsandwellness.com/,@enhanced_aesthetics_wellness,unknown,"CRNA + NP co-owned single Church St location"
Aesthetically Savy,Savannah,GA,Savannah C. Rogers,"DNP, APRN, FNP-C","Botox, Juvederm, lip/chin/cheek filler, microneedling, PRP, peptides",39,5.0,(912) 472-1144,https://aestheticallysavy.com/,@aestheticallysavy,https://goo.gl/maps/cnWkf9zGmbrESoV57,"NP-owned single Waters Ave location - confirmed in 5-50 Google band"
Inject Savannah,Savannah,GA,Kelly Rogers,NP-C,"Neurotoxins, fillers, peels, Diamond Glow, PRP, microneedling, BBL, IV",unknown,unknown,(912) 328-1075,https://injectsavannah.com/,@inject_savannah_medical_spa,unknown,"NP-owned single Bull St location"
Sumner Aesthetics,Evans (Augusta metro),GA,Melissa Sumner,NP,"Botox, Dysport, Xeomin, Daxxify, fillers, peels, PRP, weight loss, hair restoration",~11 (FB),unknown,(706) 421-7325,https://sumneraesthetics.com/,@sumneraesthetics_,unknown,"NP-owned single Ponder Place location - likely sub-50 Google"
Toxxology,Nashville (East),TN,Kaley & Jessica,Nurse injectors (cred not specified on site),"Botox, Daxxify, fillers, microneedling, lasers, PRP, peptides, IV",~115 (Birdeye),5.0,615-436-8699,https://www.toxxology.com/,@toxxology,unknown,"Nurse-founded single Fatherland St location - over band but flagship East Nashville"
Elevate Medical Spa,Nashville,TN,Aspen Crew,"BSN, RN","Injectables, Helix CO2 laser, microneedling, hydrafacial, peels, wellness shots",unknown,unknown,(615) 425-6340,https://elevatemedispa.com/,@elevatemedispa,unknown,"RN-founded single Robertson Ave location"
A Prestige Aesthetics & Wellness,Franklin,TN,Andrea Pryor,WHNP-BC,"Botox, fillers, biostimulators, CO2 laser, HRT, weight loss, microneedling",133,5.0,(615) 996-2140,https://aprestigeaesthetics.com/,@apsaesthetics,unknown,"NP-owned single Autumn Springs location - over band"
American Aesthetics,Brentwood,TN,Lyssa Max,FNP-C,"Botox, dermal fillers, facial contouring, microneedling, laser hair removal",unknown,unknown,(615) 969-7497,https://www.theamericanaesthetic.com/,@americanaesthetics_tn,unknown,"NP-owned single Concord Hills location - small focused practice"
Skin Space Aesthetics,Murfreesboro,TN,Lindsi Cutter (founder); Jasmine Wheeler RN injector,RN-led,"Botox, Dysport, fillers, microneedling, peels, dermaplaning, B12",~22 (Birdeye),5.0,(615) 396-8706,https://www.skinspacetn.com/,@skinspacetn,unknown,"RN-led single Luke Ct location - confirmed in 5-50 band"
Skin Perfect Aesthetics & Wellness,Murfreesboro,TN,Carla Trail,"NP, MSN, DCNP","Botox, Daxxify, Dysport, Xeomin, Jeuveau, fillers, microneedling, CO2 laser, weight loss",~55 (Birdeye),unknown,(615) 632-3151,https://www.skinperfectaw.com/,@skinperfectaw,unknown,"NP-owned single Memorial Blvd location - just over band"
De La Belle Wellness & Spa,Memphis,TN,Renee Pinlac,"MSN, FNP","Botox, Juvederm, lasers, IV therapy, hydrafacial, weight loss, PRP, HRT",~114 (Birdeye),4.8,901-433-9024,https://delabelle.net/,@delabellewellness,unknown,"NP-owned single Poplar Ave location - over band"
The Aesthetic Company,Knoxville,TN,Nicole Cox,FNP-C,"Botox, Dysport, fillers, microneedling, PRP, Sculptra, lasers, IPL, peels, weight loss",~97 (Birdeye),5.0,865-748-8337,https://theaecompany.com/,@theaestheticcompany.knoxville,unknown,"NP-owned single Kingston Pike location - over band"
Create Medical Aesthetics,Knoxville,TN,Veronica Garza,"RN, CANS, Licensed Aesthetician","Neuromodulators, fillers, Sculptra, Kybella, microneedling, PRP hair, lasers, peels",unknown,unknown,unknown,https://createmedspa.com/,unknown,unknown,"RN-owned single location, 17+ years operation"
Jessica Ellam Aesthetics,Knoxville,TN,Jessica Ellam,not yet confirmed,"Botox, facials, fillers, hormone, weight loss",unknown,unknown,unknown,https://jessicaellamaesthetics.com/,unknown,unknown,"Owner credential not yet confirmed (site blocked) - verify before outreach"
